1000
63	219
53	538
24	988
69	205
73	197
71	971
17	609
66	489
18	747
45	66
18	500
60	508
62	489
33	640
24	908
46	257
57	176
45	510
74	519
28	656
30	768
60	171
72	737
43	193
29	899
69	668
34	459
27	989
45	476
51	636
24	629
53	679
40	469
63	413
61	374
26	626
65	544
49	313
65	369
38	544
33	983
53	200
56	509
60	406
57	770
70	177
57	775
64	232
30	703
68	284
51	278
68	756
54	889
55	534
62	337
24	864
57	493
22	166
33	817
27	569
69	344
11	876
74	365
32	552
22	952
75	779
53	347
61	284
47	702
53	246
74	826
16	902
27	90
71	387
46	266
14	434
44	760
21	397
28	722
40	657
73	33
62	451
58	969
74	278
18	427
52	145
21	460
15	350
32	686
18	371
56	733
37	466
10	758
28	354
71	827
21	310
21	760
68	969
63	372
65	271
40	174
43	151
61	195
47	819
37	174
51	209
28	669
51	175
60	879
39	470
72	771
66	325
32	147
31	588
40	305
30	910
12	753
14	668
51	709
72	88
13	361
74	59
16	917
54	314
35	223
30	939
65	269
11	25
28	420
40	406
25	665
43	922
65	828
23	860
23	287
59	386
68	241
37	447
13	802
40	650
22	894
75	551
28	580
36	188
42	858
21	977
71	197
53	992
14	228
26	128
13	223
55	90
38	158
21	879
65	986
50	206
73	116
75	448
26	493
30	699
74	366
60	251
37	97
49	319
44	604
57	545
37	785
30	513
72	30
15	373
68	896
12	244
38	201
15	442
60	379
41	691
17	898
12	758
68	256
37	683
11	450
11	379
44	740
44	105
11	833
68	845
73	512
46	211
35	234
15	366
31	998
64	779
12	448
69	62
55	942
64	352
17	575
36	257
23	590
51	698
64	316
26	503
64	871
52	153
33	699
10	725
30	667
11	48
34	973
72	356
16	75
36	395
49	884
21	218
24	746
26	107
67	735
14	846
28	504
23	76
57	608
26	792
44	845
14	299
59	960
11	728
62	579
55	352
70	634
20	192
37	116
46	140
34	527
18	515
19	593
33	591
66	707
52	194
40	679
23	118
72	252
63	902
48	356
64	579
59	989
36	185
46	907
17	592
31	236
22	246
52	342
56	714
68	74
11	777
55	335
22	599
22	478
22	389
17	930
33	817
53	952
51	824
47	589
19	780
38	181
25	703
22	419
29	32
33	735
65	183
44	538
48	782
74	865
26	764
19	830
43	256
65	871
52	267
69	648
13	190
49	693
75	896
10	766
45	130
30	956
62	86
59	625
71	332
71	616
