100
29	318
46	741
57	352
41	433
40	634
54	804
41	218
40	322
49	504
20	312
17	535
18	833
18	986
58	502
47	655
49	22
52	739
11	329
46	530
17	645
36	651
28	184
11	431
19	278
24	742
23	193
18	818
13	674
21	935
22	29
50	388
27	499
50	949
25	579
38	805
56	131
22	223
43	322
34	800
47	346
20	838
43	807
21	266
39	735
39	320
41	294
43	872
42	494
49	141
32	592
23	502
55	337
16	910
58	888
20	150
21	66
47	216
14	510
49	416
55	164
36	422
18	266
45	401
51	186
30	925
28	306
21	493
42	688
24	80
43	634
57	777
14	198
46	998
48	466
26	839
52	713
31	919
27	620
47	541
56	526
52	476
59	90
13	982
45	140
36	881
40	412
39	135
34	209
32	361
40	576
59	132
49	142
26	690
18	839
35	811
33	215
42	509
54	509
25	610
16	472
